A-320-186;TC-NBO;13939688;2023-04-20T17:40:00;BER;SAW;INTERNATIONAL;984;2292;3
A-320-186;TC-NCH;12475438;2023-04-30T14:10:00;AYT;DUS;INTERNATIONAL;5011;1346;6
A321-200;TC-RBH;13728245;2023-04-07T12:45:00;FRA;SAW;INTERNATIONAL;994;485;1
A-320-186;TC-NCO;12469911;2023-04-07T17:35:00;BSL;AYT;INTERNATIONAL;5054;1162;8
A-320-186;TC-NCZ;12468227;2023-04-27T15:05:00;RTM;AYT;INTERNATIONAL;5302;508;5
A-320-186;TC-NCZ;12468227;2023-04-27T15:05:00;RTM;AYT;INTERNATIONAL;5302;1204;5
A-320-186;TC-NBJ;12469157;2023-04-27T11:55:00;BRE;AYT;INTERNATIONAL;5060;488;8
B737-800;TC-CRB;13702317;2023-04-30T15:45:00;STN;SAW;INTERNATIONAL;1166;290;5
B737-800;TC-CRB;13702317;2023-04-30T15:45:00;STN;SAW;INTERNATIONAL;1166;2340;10
B737-800;TC-CRE;13691460;2023-05-17T12:30:00;STR;ASR;INTERNATIONAL;1622;2160;10
A321-200;TC-RBM;13758973;2023-04-19T11:30:00;DUS;SAW;INTERNATIONAL;1002;725;5
A-320-186;TC-NBA;13731370;2023-04-07T16:55:00;AYT;FRU;INTERNATIONAL;708;190;1
A-320-186;TC-NBB;13691241;2023-05-15T09:30:00;AYT;TZX;DOMESTIC;3532;2346;1
A321-200;TC-RDB;13949002;2023-04-07T12:20:00;CDG;SAW;INTERNATIONAL;1134;1162;5
A-320-186;TC-NCK;13703100;2023-04-27T17:55:00;ECN;ESB;INTERNATIONAL;1884;1204;2
A321-200;TC-RBB;13748582;2023-05-31T17:10:00;SAW;FRU;INTERNATIONAL;704;725;3
B737-800;TC-CPK;13700597;2023-05-18T15:30:00;CRL;SAW;INTERNATIONAL;924;613;6
B737-800;TC-CPK;13700597;2023-05-18T15:30:00;CRL;SAW;INTERNATIONAL;924;725;5
B737-800;TC-CRA;12119429;2023-03-20T14:20:00;CRL;SAW;INTERNATIONAL;804;725;3
A-320-186C;TC-DCM;13682736;2023-04-27T12:00:00;LED;SAW;INTERNATIONAL;397;613;2
B737-800;TC-IZI;13716285;2023-05-31T18:20:00;SAW;PRN;INTERNATIONAL;341;1162;2
A-320-186;TC-NBV;13703971;2023-05-08T14:00:00;ZRH;SAW;INTERNATIONAL;950;1159;1
A321-200;TC-RBH;13682885;2023-04-20T14:35:00;AMS;SAW;INTERNATIONAL;1254;725;5
A321-200;TC-RBH;13682885;2023-04-20T14:35:00;AMS;SAW;INTERNATIONAL;1254;508;3
A-320-186;TC-NCJ;13763703;2023-04-30T12:10:00;STN;ADB;INTERNATIONAL;1532;1204;4
A-320-186C;TC-DCM;13714457;2023-04-19T14:25:00;PRG;SAW;INTERNATIONAL;302;290;1
A-320-186;TC-NCD;13695029;2023-04-27T09:25:00;SAW;DME;INTERNATIONAL;386;190;10
A-320-186;TC-NBT;13669125;2023-05-08T07:30:00;VAN;SAW;DOMESTIC;2501;613;1
A321-200;TC-RBT;13728247;2023-05-16T11:15:00;BER;SAW;INTERNATIONAL;980;2160;4
B737-800;TC-AIS;13706490;2023-04-19T17:15:00;SAW;KHI;INTERNATIONAL;130;508;2
A321-200;TC-RBY;13755273;2023-04-27T15:45:00;STN;SAW;INTERNATIONAL;1166;725;7
A321-200;TC-RBL;13651111;2023-05-12T09:15:00;SJJ;SAW;INTERNATIONAL;292;1204;2
A-320-186;TC-NBY;13667071;2023-05-12T22:55:00;EVN;AYT;INTERNATIONAL;557;159;1
B737-800;TC-CPE;13700470;2023-04-19T12:40:00;LYS;SAW;INTERNATIONAL;1142;725;11
A-320-186;TC-NCE;13831537;2023-04-27T23:45:00;EBL;SAW;INTERNATIONAL;817;725;1
A-320-186;TC-NCF;14522869;2023-05-31T12:20:00;KZN;AYT;INTERNATIONAL;5555;613;4
A-320-186;TC-NCG;12475436;2023-05-02T10:40:00;AYT;DUS;INTERNATIONAL;5011;488;12
A-320-186;TC-NBH;12471562;2023-05-18T13:25:00;FRA;AYT;INTERNATIONAL;5036;450;2
A-320-186;TC-NCU;12527852;2023-05-18T07:50:00;BER;ADB;INTERNATIONAL;5304;1162;1
A-320-186;TC-NBV;12472662;2023-05-03T17:00:00;LEJ;AYT;INTERNATIONAL;5030;569;6
A-320-186;TC-NBP;13728673;2023-05-04T05:25:00;AMS;SAW;INTERNATIONAL;1256;2161;14
A-320-186;TC-NCS;13751104;2023-05-07T20:55:00;SAW;TBZ;INTERNATIONAL;508;1162;5
A-320-186;TC-NCZ;12471376;2023-04-26T10:05:00;CDG;AYT;INTERNATIONAL;5038;1204;3
A-320-186;TC-NCZ;12471376;2023-04-26T10:05:00;CDG;AYT;INTERNATIONAL;5038;569;6
A-320-186;TC-NCR;12473387;2023-05-07T17:40:00;CPH;AYT;INTERNATIONAL;5026;484;15
A-320-186;TC-NCR;12473387;2023-05-07T17:40:00;CPH;AYT;INTERNATIONAL;5026;613;10
A-320-200;LY-MLF;12473268;2023-10-09T12:55:00;AYT;CPH;INTERNATIONAL;5025;1346;4
A-320-200;LY-MLG;12477285;2023-04-29T07:50:00;DUS;AYT;INTERNATIONAL;5002;1162;3
A-320-186;TC-NBM;12474511;2023-05-09T08:05:00;AMS;AYT;INTERNATIONAL;5016;2161;6
A321-200;TC-RBR;13753873;2023-04-21T10:45:00;AMS;SAW;INTERNATIONAL;1252;353;1
A-320-186;TC-NBU;12470070;2023-05-11T16:05:00;VIE;AYT;INTERNATIONAL;5048;835;24
A-320-186;TC-NBU;12470070;2023-05-11T16:05:00;VIE;AYT;INTERNATIONAL;5048;878;12
A321-200;TC-RBF;12121202;2023-03-14T23:50:00;CGN;SAW;INTERNATIONAL;1014;508;4
A-320-200;TC-FHM;12147410;2023-03-15T11:10:00;STN;AYT;INTERNATIONAL;1822;613;1
B737-800;TC-CPD;13682951;2023-05-06T03:15:00;SAW;OGU;DOMESTIC;2860;2161;1
A-320-186;TC-NCB;12468115;2023-09-04T14:25:00;RTM;AYT;INTERNATIONAL;5302;485;10
A-320-186;TC-NCB;12468115;2023-09-04T14:25:00;RTM;AYT;INTERNATIONAL;5302;1162;10
A-320-186;TC-NCB;12468115;2023-09-04T14:25:00;RTM;AYT;INTERNATIONAL;5302;725;10
A-320-186;TC-NCB;12468115;2023-09-04T14:25:00;RTM;AYT;INTERNATIONAL;5302;508;10
A321-200;TC-RBN;13970415;2023-03-17T11:40:00;FMO;SAW;INTERNATIONAL;7002;613;5
A-320-200;TC-DCG;13684791;2023-04-14T20:55:00;SAW;TBZ;INTERNATIONAL;508;508;3
